Delay -5C 15C 35C 55C
-4177.88075 -0.000139 0.000108 0.000131 6.6e-05
-4176.88006 6.6e-05 5.7e-05 2e-05 1.5e-05
-4175.87937 -6.2e-05 5e-05 -1.3e-05 3.2e-05
-4174.87868 -1.3e-05 5.8e-05 3.9e-05 -2.2e-05
-4173.87799 -0.000103 0.00016 6.4e-05 -0.000148
-4172.8773 -3e-06 3.6e-05 2e-05 1.8e-05
-4171.87661 -0.000154 0.000132 -0.000114 -8e-06
-4170.87592 -0.000226 7.4e-05 3.6e-05 -1.8e-05
-4169.87523 1.6e-05 0.000168 4.2e-05 -3.3e-05
-4168.87454 -1.1e-05 0.000102 0.000116 -1e-06
-4167.87385 0.000166 5.7e-05 -1e-06 -0.00021
-4166.87316 0.000233 5e-05 7.6e-05 3.5e-05
-4165.87247 -0.000229 -0.000126 0 -7.1e-05
-4164.87178 7.6e-05 0.000175 4e-06 -4.5e-05
-4163.87109 -2.1e-05 4.6e-05 -0.000117 -3.4e-05
-4162.8704 -0.000234 9e-05 0.00012 -1.4e-05
-4161.86971 -3.1e-05 6.6e-05 0.000128 -4.4e-05
-4160.86902 7e-06 -5.7e-05 -0.000126 0.000158
-4159.86833 6.1e-05 -0.000114 5.1e-05 -4.4e-05
-4158.86764 -0.00016 7.5e-05 -4.5e-05 -9.8e-05
-4157.86695 -1.9e-05 -2e-05 6.2e-05 5.5e-05
-4156.86626 -4.9e-05 2e-06 8.8e-05 -8e-05
-4155.86557 -0.000116 -0.000113 -2e-06 2.2e-05
-4154.86488 2.7e-05 -2.8e-05 -1.2e-05 1.3e-05
-4153.86419 -1.9e-05 6.1e-05 0 8.1e-05
-4152.8635 7e-05 -5.2e-05 -2e-06 7.8e-05
-4151.86281 7.8e-05 -3.8e-05 -9e-06 -0.000111
-4150.86212 -8.8e-05 -1e-05 8.9e-05 9.7e-05
-4149.86143 0.000101 7e-05 4.5e-05 0.000113
-4148.86074 -5.1e-05 5.7e-05 -5.6e-05 4e-05
