Delay -5C 15C 35C 55C 70C
-4332.9877 0.000152 7.4e-05 0 9e-06 -2e-06
-4331.98701 3.9e-05 -6e-06 0.000127 5.4e-05 -3.9e-05
-4330.98632 -9.1e-05 9.2e-05 2.8e-05 -0.000123 1e-06
-4329.98563 -3e-06 -3.2e-05 -2.5e-05 -3e-05 2.6e-05
-4328.98494 2.2e-05 4.4e-05 -9.1e-05 1.1e-05 -4.1e-05
-4327.98425 8.6e-05 -0.000155 -4.9e-05 -9e-05 -8e-05
-4326.98356 -0.000133 1.7e-05 5.5e-05 -9.2e-05 -1.4e-05
-4325.98287 5.6e-05 -9.7e-05 -2.5e-05 -1.2e-05 5e-06
-4324.98218 2.7e-05 -4.8e-05 2e-05 -7.7e-05 0.000108
-4323.98149 7.2e-05 -1.4e-05 -3.4e-05 0.000107 -0.000139
-4322.9808 -5.9e-05 -3.9e-05 -0.000101 2.1e-05 9.6e-05
-4321.98011 0.000101 4e-06 -1.3e-05 -3.1e-05 3.6e-05
-4320.97942 -2.2e-05 2.5e-05 -4e-06 -0.000144 4.1e-05
-4319.97873 -5e-06 -4.9e-05 8.7e-05 0.000165 -4.7e-05
-4318.97804 1.8e-05 -9.7e-05 -5.9e-05 -0.000107 8.3e-05
-4317.97735 1.8e-05 1.9e-05 3e-06 0.000133 -4.5e-05
-4316.97666 4.3e-05 -7.3e-05 -0.000133 9.1e-05 -5.4e-05
-4315.97597 -6.3e-05 -4.3e-05 -5.7e-05 1.5e-05 -3.1e-05
-4314.97528 7.2e-05 5.5e-05 -4.5e-05 -8.5e-05 -4e-06
-4313.97459 -5.8e-05 -0.000119 -0.000109 -1e-05 1.9e-05
-4312.9739 -8.1e-05 7.7e-05 5.6e-05 0.000114 4e-05
-4311.97321 4.3e-05 -3.8e-05 -9.6e-05 -3e-05 -5.3e-05
-4310.97252 0.000143 -0.000143 -8e-06 6.4e-05 6.7e-05
-4309.97183 6e-06 -3.7e-05 -0.000133 -9.5e-05 -2.4e-05
-4308.97114 -0.000105 -2.3e-05 -3e-06 -8.3e-05 -5.3e-05
-4307.97045 -8.1e-05 0.000102 9e-06 -7e-06 -0.000102
-4306.96976 4.5e-05 -4.4e-05 2.8e-05 0.000146 -2.2e-05
