Wavenumber parallel perpendicular
117.57 0.412665709 0.363458128
118.0521 0.402584309 0.358827392
118.5342 0.3992833 0.346320524
119.0163 0.403668509 0.3262448068
119.4985 0.414547284 0.3005978008
119.9806 0.42866118 0.2727735824
120.4627 0.441522797 0.246571424
120.9448 0.448973075 0.2249618184
121.427 0.448849083 0.2094456804
121.9091 0.4418856 0.200328304
122.3912 0.431446027 0.1971420748
122.8733 0.422267139 0.198432718
123.3555 0.418614832 0.20145202
123.8376 0.422557853 0.2027760636
124.3197 0.433187514 0.1996658048
124.8018 0.447036133 0.191121304
125.284 0.459264193 0.1780275684
125.7661 0.465155329 0.1625206924
126.2482 0.461528171 0.147066524
126.7303 0.447663901 0.1337262696
127.2124 0.4254664849 0.1238158944
127.6946 0.3988653746 0.117873426
128.1767 0.3727059414 0.1157712468
128.6588 0.3514553033 0.1169154932
129.1409 0.3380959713 0.1205179272
129.6231 0.3335097349 0.1258546652
130.1052 0.3364278993 0.1323694724
130.5873 0.3438125314 0.1395339352
131.0694 0.3515650209 0.1465835228
131.5516 0.3555024817 0.1524660588
132.0337 0.3524331371 0.1562190476
132.5158 0.3410878096 0.1575380972
132.9979 0.3226844896 0.1570132124
133.4801 0.3009107405 0.1557145084
133.9622 0.2810894104 0.1543816604
134.4443 0.2684361007 0.1528991332
134.9264 0.2659418708 0.1504716268
135.4086 0.2730964558 0.1462091928
135.8907 0.2862088207 0.139671246
136.3728 0.2998240914 0.1312937208
136.8549 0.3084323008 0.1226395808
137.3371 0.308157294 0.1160562612
137.8192 0.2981883977 0.1134570096
138.3013 0.2812831366 0.1150360948
138.7834 0.26267211 0.11940962
139.2655 0.2478260731 0.1250850656
139.7477 0.2404243516 0.1315501176
140.2298 0.2413778546 0.13914923
140.7119 0.2490826718 0.1483089828
141.194 0.2607391531 0.158848888
