Mar. 30, 2023   17:14:41
Cyclic Voltammetry
File: ref20mvs
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.268
High E (V) = 0.5
Low E (V) = -0.2
Init P/N = N
Scan Rate (V/s) = 0.02
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Segment 1:

Segment 2:

Potential/V, Current/A, Charge/C

Segment 1:
-0.113, -1.835e-7, -1.605e-6
-0.114, -1.844e-7, -1.614e-6
-0.115, -1.852e-7, -1.623e-6
-0.116, -1.855e-7, -1.632e-6
-0.117, -1.870e-7, -1.642e-6
-0.118, -1.884e-7, -1.651e-6
-0.119, -1.891e-7, -1.660e-6
-0.120, -1.899e-7, -1.670e-6
-0.121, -1.916e-7, -1.680e-6
-0.122, -1.924e-7, -1.689e-6
-0.123, -1.938e-7, -1.699e-6
-0.124, -1.945e-7, -1.709e-6
-0.125, -1.953e-7, -1.718e-6
-0.126, -1.960e-7, -1.728e-6
-0.127, -1.976e-7, -1.738e-6
-0.128, -1.990e-7, -1.748e-6
-0.129, -1.997e-7, -1.758e-6
-0.130, -2.004e-7, -1.768e-6
-0.131, -2.022e-7, -1.778e-6
-0.132, -2.036e-7, -1.788e-6
-0.133, -2.043e-7, -1.798e-6
-0.134, -2.050e-7, -1.809e-6
-0.135, -2.066e-7, -1.819e-6
-0.136, -2.080e-7, -1.829e-6
-0.137, -2.089e-7, -1.840e-6
-0.138, -2.098e-7, -1.850e-6
-0.139, -2.116e-7, -1.861e-6
-0.140, -2.133e-7, -1.872e-6
-0.141, -2.138e-7, -1.882e-6
-0.142, -2.146e-7, -1.893e-6
-0.143, -2.164e-7, -1.904e-6
-0.144, -2.180e-7, -1.915e-6
-0.145, -2.185e-7, -1.926e-6
-0.146, -2.200e-7, -1.937e-6
-0.147, -2.217e-7, -1.948e-6
-0.148, -2.232e-7, -1.959e-6
-0.149, -2.239e-7, -1.970e-6
-0.150, -2.249e-7, -1.981e-6
-0.151, -2.266e-7, -1.993e-6
-0.152, -2.283e-7, -2.004e-6
-0.153, -2.297e-7, -2.016e-6
-0.154, -2.314e-7, -2.027e-6
-0.155, -2.329e-7, -2.039e-6
-0.156, -2.338e-7, -2.051e-6
-0.157, -2.353e-7, -2.062e-6
-0.158, -2.365e-7, -2.074e-6
-0.159, -2.379e-7, -2.086e-6
-0.160, -2.392e-7, -2.098e-6
-0.161, -2.411e-7, -2.110e-6
-0.162, -2.429e-7, -2.122e-6
